DATE, com.tr, gen.tr , gov.tr , web.tr, k12.tr, org.tr, biz.tr, av.tr , info.tr , tv.tr, bel.tr , name.tr, net.tr, edu.tr, pol.tr, bbs.tr, dr.tr, nom.tr, tsk.tr, tel.tr, mil.tr
10/11/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2015,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1/10/2015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2015,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1/12/2015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/9/2015,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12/11/2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/11/2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/11/2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13/11/2015,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13/5/2015,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
13/8/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/12/2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14/5/2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/12/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
18/5/2015,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19/10/2015,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
19/11/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/11/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/5/2015,2,2,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2/10/2015,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/10/2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/11/2015,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25/5/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
26/11/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2015,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26/5/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/10/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/2015,3,6,0,5,0,5,5,0,5,4,0,4,6,0,0,5,0,0,0,5,0
28/5/2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/5/2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/8/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/6/2015,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
30/9/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2015,4,4,0,2,0,2,1,0,2,2,0,2,2,0,0,2,1,0,0,2,0
3/8/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/12/2015,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/7/2015,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/9/2015,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/2015,2,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
9/7/2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
