,AUDJPY-7-22,AUDUSD-7-22,CHFJPY-7-22,EURCAD-7-22,EURCHF-7-22,EURGBP-7-22,EURJPY-7-22,EURUSD-7-22,GBPCHF-7-22,GBPJPY-7-22,GBPUSD-7-22,NZDJPY-7-22,NZDUSD-7-22,USDCAD-7-22,USDCHF-7-22,USDJPY-7-22,XAGUSD-7-22,XAUUSD-7-22,WTI Crude Oil,Natural Gas,Heating Oil,Gasoline,Gasoil,Chicago Corn,Chicago Soybeans,Chicago Wheat,Soybean Meal,Soybean Oil,Canada Canola,Sugar No. 11,White Sugar,Coffee C,Cocoa,Cotton,Live Cattle,Lean Hogs,COMEX Gold,COMEX Silver,Platinum,Palladium,Copper CME,E-mini SP 500 Index,E-mini Nasdaq 100 Index,US Dollar Index,Full-size Dow Jones Industrial Average (DJIA),5-year Treasury Note,10-year Treasury Note,30-year Treasury Bond,30-day Fed Funds,3-Month Eurodollar,Short Sterling,3-month Euroyen,DAX,Eurostoxx50,Nikkei 225,S&P 500 INDEX
AUDJPY-7-22, 1, .1798,-.482,-.8989,-.4869,-.4235,-.7114,-.4628, .1656, .0691,-.2013,-.5873,-.4728, .0944, .3968, .3033,-.4752,-.6138, .1568, .2475, .2621, .3995, .3585, .2566,-.1249, .7624,-.3249, .4619, .6496,-.0702, 0, .5161,-.3555,-.7146,-.5394,-.3123,-.6805,-.4896,-.6603,-.5169,-.1511, .3008, .6641, .3614, .5803,-.4124,-.378,-.4675, .2509,-.2356, .6823,-.8863,-.3047, .3249,-.3882, .0828
AUDUSD-7-22, .1798, 1,-.8787, .1899, .4687,-.3585, .2042, .7708, .7376, .6, .8762, .3964, .7277,-.9491,-.83,-.8828, .7665, .6606, .9117,-.7292, .7081, .675, .8234, .8108, .4994,-.2546, .6987, .1969,-.299, .7954, 0, .7673, .6276, .4986, .5672, .7575, .5968, .7641, .6166, .5348, .7878, .7009, .3121,-.8452,-.4849, .8207, .8384, .7627,-.693, .8624,-.486,-.3561,-.4292,-.8202,-.8879, .7882
CHFJPY-7-22,-.482,-.8787, 1, .0826,-.4502, .1856,-.1415,-.5378,-.5239,-.338,-.5795,-.3342,-.5375, .7879, .5279, .6199,-.4868,-.3534,-.8221, .4257,-.7965,-.7628,-.8449,-.6235,-.1875, .0865,-.3456,-.0718, .2215,-.7985, 0,-.7183,-.606,-.2527,-.3255,-.4825,-.2774,-.4781,-.3061,-.3225,-.5045,-.8334,-.4114, .6097, .1291,-.5485,-.5396,-.4013, .3773,-.6176, .1114, .6876, .1912, .4593, .8676,-.78
EURCAD-7-22,-.8989, .1899, .0826, 1, .753, .4918, .8653, .7573,-.06,-.0502, .4329, .7844, .7556,-.4393,-.6755,-.6141, .7206, .8275, .1208,-.3679,-.0305,-.2135,-.1089,-.0976, .091,-.8389, .4289,-.595,-.8883, .3981, 0,-.182, .6691, .8868, .6618, .4781, .8795, .7431, .8668, .6268, .3012,-.0427,-.6847,-.6721,-.6071, .6998, .6708, .7036,-.3444, .5908,-.7418, .7264, .1994,-.572, .1159, .1695
EURCHF-7-22,-.4869, .4687,-.4502, .753, 1, .5039, .9476, .8355, .0896,-.0084, .4976, .9796, .8942,-.6878,-.6753,-.684, .763, .7804, .4938,-.417, .5256, .327, .3812, .0912, .044,-.867, .386,-.6061,-.9164, .8391, 0,-.0416, .9801, .8762, .7456, .5761, .7774, .764, .7889, .7471, .3897, .5531,-.3104,-.7749,-.5019, .7446, .6635, .5842,-.3653, .6034,-.5856, .1144, .4555,-.461,-.3191, .6327
EURGBP-7-22,-.4235,-.3585, .1856, .4918, .5039, 1, .6309, .0722,-.8149,-.8553,-.4397, .4428, .1266, .2026, .1308, .1433,-.0764, .0364,-.4638, .5404,-.3053,-.485,-.5016,-.8017,-.7807,-.3321,-.5297,-.9827,-.6942, .0234, 0,-.3763, .3565, .2227,-.1052,-.3867, .1077,-.0469, .0973,-.097,-.5813,-.2235,-.7999, .0416, .3165,-.0655,-.1138,-.1596, .5768,-.0383, .1733, .3662, .5847, .295, .5645,-.2827
EURJPY-7-22,-.7114, .2042,-.1415, .8653, .9476, .6309, 1, .7328,-.0946,-.1376, .3405, .9649, .7975,-.4787,-.5583,-.5353, .6691, .7368, .2489,-.3038, .2927, .0839, .1154,-.1275,-.0262,-.927, .2985,-.7037,-.9396, .6422, 0,-.2999, .8693, .8788, .7048, .4604, .7613, .6739, .7635, .7072, .2456, .3109,-.4977,-.6397,-.504, .6278, .5417, .5028,-.2635, .4495,-.6046, .3745, .5714,-.3456,-.0392, .4174
EURUSD-7-22,-.4628, .7708,-.5378, .7573, .8355, .0722, .7328, 1, .4827, .4005, .864, .8234, .9888,-.9192,-.9695,-.967, .9826, .9746, .7228,-.756, .534, .3927, .5346, .4946, .4311,-.7705, .7614,-.2352,-.7658, .8365, 0, .3098, .8849, .9289, .8616, .8495, .9584, .988, .9665, .8279, .7468, .5184,-.1657,-.9909,-.755, .9885, .9639, .9288,-.7172, .9,-.8259, .1825,-.0499,-.8716,-.5514, .7041
GBPCHF-7-22, .1656, .7376,-.5239,-.06, .0896,-.8149,-.0946, .4827, 1, .9787, .8458, .1433, .4569,-.7015,-.6112,-.632, .6036, .485, .8683,-.9022, .7009, .7745, .8339, .9883, .9258,-.1924, .8702, .724, .182, .5367, 0, .4227, .2477, .3306, .6174, .8319, .4012, .5711, .4206, .6075, .9323, .6258, .7081,-.5742,-.6977, .5814, .5848, .584,-.909, .4617,-.5909,-.3447,-.3836,-.6591,-.8678, .7482
GBPJPY-7-22, .0691, .6,-.338,-.0502,-.0084,-.8553,-.1376, .4005, .9787, 1, .7917, .0797, .3737,-.583,-.5434,-.5446, .5468, .4473, .762,-.8935, .5877, .6773, .7208, .941, .978,-.1936, .8763, .7835, .2566, .4026, 0, .2874, .1284, .3031, .6048, .8024, .3725, .5125, .3873, .5955, .9075, .4959, .6887,-.4841,-.7392, .5063, .5109, .5426,-.9127, .3546,-.6241,-.2206,-.369,-.6111,-.751, .6422
